-1904	604	17260	-161	-2311	-237	-11	-22	-27	7231
-1752	212	17448	274	-2147	-38	-11	-22	-26	7283
-1560	556	17328	-290	-2150	22	-12	-24	-28	7333
-1176	668	17740	-30	-2111	-204	-12	-23	-27	7383
-1092	128	17244	-181	-2189	2	-12	-22	-27	7433
-828	244	17724	-168	-2040	483	-14	-24	-29	7482
-636	736	17388	157	-1699	419	-15	-21	-26	7532
-496	296	17648	-74	-1092	100	-15	-23	-24	7581
-412	476	17220	168	-1013	-205	-16	-20	-26	7630
-352	192	17156	24	-888	11	-16	-22	-25	7680
-164	60	17416	-211	-1322	122	-16	-21	-25	7726
-100	380	17328	-178	-801	-121	-16	-24	-24	7775
20	372	17416	38	-613	-265	-16	-22	-25	7825
48	68	17408	58	-500	-109	-18	-22	-23	7870
100	44	17036	8	-760	40	-18	-22	-25	7915
176	348	17360	2	-1322	-29	-16	-23	-26	7958
300	200	16960	-610	-1432	-193	-18	-20	-25	8003
412	-76	17452	-409	-744	137	-17	-23	-24	8053
608	-180	17120	460	-1773	331	-18	-23	-24	8101
-152	-220	17528	-242	-287	500	-19	-23	-23	8150
-3864	-2120	17612	528	-919	125	-19	-21	-24	8200
416	76	17516	-81	-717	684	-18	-21	-23	8251
1260	408	17316	-114	-168	-343	-18	-20	-24	8297
808	-476	17080	-1205	-1116	244	-18	-20	-23	8347
2324	-148	17380	-579	-309	672	-19	-19	-23	8398
1268	-164	17444	114	-899	313	-19	-21	-26	8447
1168	-48	16864	-601	-1579	-248	-21	-21	-23	8496
1404	-504	17240	-440	-3417	-672	-21	-21	-20	8547
2756	-348	17652	372	-1335	-841	-21	-19	-22	8599
1924	-512	16212	-1166	-3862	-296	-21	-19	-22	8650
2608	-628	17024	-103	-6483	-562	-23	-19	-21	8703
3312	-616	17248	-191	-5666	-570	-26	-22	-19	8755
3980	-732	16512	675	-6855	-691	-28	-21	-15	8807
4672	-628	16004	279	-7136	-701	-30	-20	-14	8858
5524	-804	16228	-385	-10227	229	-34	-21	-9	8909
5488	-440	16576	135	-6885	-37	-35	-22	-7	8960
7704	-512	15652	977	-7042	376	-37	-19	-6	9009
7836	-532	14180	819	-5505	-332	-40	-20	-6	9058
8424	-380	14984	-315	-6921	-261	-40	-21	-3	9108
